sample_name	sample_accession
2538.1000130	ERS1972982
2538.1000132	ERS1972984
2538.1000134	ERS1972985
2538.1000228	ERS1973010
2538.1000031	ERS1972957
2538.1000217	ERS1973000
2538.1003725	ERS1973775
2538.1003724	ERS1973774
2538.1003727	ERS1973776
2538.1003721	ERS1973771
2538.1003720	ERS1973770
2538.1003723	ERS1973773
2538.1003722	ERS1973772
2538.1003729	ERS1973777
2538.1001329	ERS1973408
2538.1001328	ERS1973407
2538.1001327	ERS1973406
2538.1001326	ERS1973405
2538.1001325	ERS1973404
2538.1001324	ERS1973403
2538.1001320	ERS1973402
2538.1000221	ERS1973004
2538.BLANK48	ERS1973878
2538.BLANK49	ERS1973879
2538.BLANK46	ERS1973876
2538.BLANK47	ERS1973877
2538.1003625	None
2538.BLANK45	ERS1973875
2538.BLANK42	ERS1973873
2538.1000223	ERS1973006
2538.BLANK40	ERS1973871
2538.BLANK41	ERS1973872
2538.1002102	ERS1973499
2538.1002103	ERS1973500
2538.1000968	ERS1973241
2538.1000969	ERS1973242
2538.1002106	ERS1973503
2538.1002107	ERS1973504
2538.1002104	ERS1973501
2538.1002105	ERS1973502
2538.1001156	ERS1973342
2538.1000624	ERS1973095
2538.1002531	ERS1973599
2538.1002530	ERS1973598
2538.1000621	ERS1973092
2538.1000620	ERS1973091
2538.1000623	ERS1973094
2538.1000965	ERS1973238
2538.1000951	ERS1973230
2538.1000226	ERS1973009
2538.1003917	ERS1973793
2538.1001415	ERS1973425
2538.1000021	ERS1972951
2538.BLANK3.C	ERS1973846
2538.1001124	ERS1973317
2538.1000818	ERS1973144
2538.1000819	ERS1973145
2538.1000816	ERS1973142
2538.1003530	ERS1973739
2538.1000814	ERS1973140
2538.1000815	ERS1973141
2538.1000812	ERS1973138
2538.1000813	ERS1973139
2538.1000810	ERS1973136
2538.1000811	ERS1973137
2538.1003611	ERS1973748
2538.1003610	ERS1973747
2538.1001149	ERS1973335
2538.1003612	ERS1973749
2538.1003125	ERS1973644
2538.1003617	ERS1973751
2538.1003619	ERS1973752
2538.1001142	ERS1973334
2538.1001141	ERS1973333
2538.1001140	ERS1973332
2538.1001231	ERS1973384
2538.1000109	ERS1972965
2538.1000719	ERS1973116
2538.1000718	ERS1973115
2538.1002625	None
2538.1002623	ERS1973613
2538.1002622	ERS1973612
2538.1002621	ERS1973611
2538.1000711	ERS1973108
2538.1000710	ERS1973107
2538.1000713	ERS1973110
2538.1000712	ERS1973109
2538.1000715	ERS1973112
2538.1000714	ERS1973111
2538.1000717	ERS1973114
2538.1000716	ERS1973113
2538.1000027	ERS1972955
2538.1003128	ERS1973647
2538.1000220	ERS1973003
2538.1000869	ERS1973183
2538.1000907	ERS1973192
2538.1000867	ERS1973181
2538.1000909	ERS1973194
2538.1000865	ERS1973179
2538.1000864	ERS1973178
2538.1003509	ERS1973720
2538.1003508	ERS1973719
2538.1001026	ERS1973269
2538.1003505	None
2538.1003504	ERS1973716
2538.1003507	ERS1973718
2538.1003506	ERS1973717
2538.1003501	ERS1973713
2538.1003503	ERS1973715
2538.1003502	ERS1973714
2538.1000639	ERS1973104
2538.1000531	ERS1973075
2538.1000025	ERS1972954
2538.1000530	ERS1973074
2538.1000222	ERS1973005
2538.1001027	ERS1973270
2538.1003910	ERS1973786
2538.BLANK15	ERS1973819
2538.BLANK14	ERS1973818
2538.BLANK17	ERS1973821
2538.BLANK16	ERS1973820
2538.BLANK11	ERS1973815
2538.BLANK10	ERS1973814
2538.BLANK13	ERS1973817
2538.BLANK12	ERS1973816
2538.1000539	ERS1973082
2538.BLANK19	ERS1973823
2538.BLANK18	ERS1973822
2538.1000538	ERS1973081
2538.1001048	ERS1973285
2538.1001049	ERS1973286
2538.1001538	ERS1973467
2538.1001043	ERS1973280
2538.1001046	ERS1973283
2538.1001047	ERS1973284
2538.1001044	ERS1973281
2538.1001045	ERS1973282
2538.1000108	ERS1972964
2538.1000844	ERS1973164
2538.1000847	ERS1973167
2538.1000846	ERS1973166
